matcher_a,matcher_b,source_iri,target_iri
LogMap,AML,https://example.org/mod-sbd#Activity,https://example.org/ontology/sora#Activity
LogMap,AML,https://example.org/mod-sbd#Component,https://example.org/ontology/sora#Component
LogMap,AML,https://example.org/mod-sbd#CyberRisk,https://example.org/ontology/sora#CyberRisk
LogMap,AML,https://example.org/mod-sbd#Data,https://example.org/ontology/sora#Data
LogMap,AML,https://example.org/mod-sbd#HumanError,https://example.org/ontology/sora#HumanError
LogMap,AML,https://example.org/mod-sbd#InformationArtifact,https://example.org/ontology/sora#InformationArtifact
LogMap,AML,https://example.org/mod-sbd#LifecycleContext,https://example.org/ontology/sora#LifecycleContext
LogMap,AML,https://example.org/mod-sbd#Organisation,https://example.org/ontology/sora#Organisation
LogMap,AML,https://example.org/mod-sbd#Programme,https://example.org/ontology/sora#Programme
LogMap,AML,https://example.org/mod-sbd#Risk,https://example.org/ontology/sora#Risk
LogMap,AML,https://example.org/mod-sbd#SecurityMechanism,https://example.org/ontology/sora#SecurityMechanism
LogMap,AML,https://example.org/mod-sbd#SecurityPlan,https://example.org/ontology/sora#Plan
LogMap,AML,https://example.org/mod-sbd#SecurityPrincipleOrPractice,https://example.org/ontology/sora#SecurityPrincipleOrPractice
LogMap,AML,https://example.org/mod-sbd#SecurityProperty,https://example.org/ontology/sora#SecurityProperty
LogMap,AML,https://example.org/mod-sbd#Service,https://example.org/ontology/sora#Service
LogMap,AML,https://example.org/mod-sbd#Standard,https://example.org/ontology/sora#Standard
LogMap,AML,https://example.org/mod-sbd#System,https://example.org/ontology/sora#System
LogMap,BERTMap,https://example.org/mod-sbd#Activity,https://example.org/ontology/sora#Activity
LogMap,BERTMap,https://example.org/mod-sbd#Component,https://example.org/ontology/sora#Component
LogMap,BERTMap,https://example.org/mod-sbd#Data,https://example.org/ontology/sora#Data
LogMap,BERTMap,https://example.org/mod-sbd#Organisation,https://example.org/ontology/sora#Organisation
LogMap,BERTMap,https://example.org/mod-sbd#Programme,https://example.org/ontology/sora#Programme
LogMap,BERTMap,https://example.org/mod-sbd#Risk,https://example.org/ontology/sora#Risk
LogMap,BERTMap,https://example.org/mod-sbd#Service,https://example.org/ontology/sora#Service
LogMap,BERTMap,https://example.org/mod-sbd#Standard,https://example.org/ontology/sora#Standard
LogMap,BERTMap,https://example.org/mod-sbd#System,https://example.org/ontology/sora#System
AML,BERTMap,https://example.org/mod-sbd#Activity,https://example.org/ontology/sora#Activity
AML,BERTMap,https://example.org/mod-sbd#Component,https://example.org/ontology/sora#Component
AML,BERTMap,https://example.org/mod-sbd#Data,https://example.org/ontology/sora#Data
AML,BERTMap,https://example.org/mod-sbd#Organisation,https://example.org/ontology/sora#Organisation
AML,BERTMap,https://example.org/mod-sbd#Programme,https://example.org/ontology/sora#Programme
AML,BERTMap,https://example.org/mod-sbd#Risk,https://example.org/ontology/sora#Risk
AML,BERTMap,https://example.org/mod-sbd#Service,https://example.org/ontology/sora#Service
AML,BERTMap,https://example.org/mod-sbd#Standard,https://example.org/ontology/sora#Standard
AML,BERTMap,https://example.org/mod-sbd#System,https://example.org/ontology/sora#System
