ontology_side,entity_type,entity_iri,label
source,class,https://example.org/mod-sbd#Accountability,Accountability
source,class,https://example.org/mod-sbd#AcquireSecurely,Acquire Securely
source,class,https://example.org/mod-sbd#AcquisitionAndSupplyChainActivity,Acquisition and Supply-Chain Activity
source,class,https://example.org/mod-sbd#AdverseSecurityEvent,Adverse Security Event
source,class,https://example.org/mod-sbd#AllocateResources,Allocate Resources
source,class,https://example.org/mod-sbd#AnalyseRisk,Analyse Risk
source,class,https://example.org/mod-sbd#AnticipateTechnologicalChange,Anticipate Technological Change
source,class,https://example.org/mod-sbd#Architecture,Architecture
source,class,https://example.org/mod-sbd#ArchivalManagement,Archival Management
source,class,https://example.org/mod-sbd#ArtefactReference,Artefact Reference
source,class,https://example.org/mod-sbd#AssessmentStage,Assessment
source,class,https://example.org/mod-sbd#Asset,Asset
source,class,https://example.org/mod-sbd#AssetManagement,Asset Management
source,class,https://example.org/mod-sbd#AssuranceEvidence,Assurance Evidence
source,class,https://example.org/mod-sbd#AssuranceSecurityPractice,Assurance Security Practice
source,class,https://example.org/mod-sbd#AtomicRequirementClause,Atomic Requirement Clause
source,class,https://example.org/mod-sbd#AttackScenario,Attack Scenario
source,class,https://example.org/mod-sbd#AttackTechnique,Attack Method or Technique
source,class,https://example.org/mod-sbd#Availability,Availability
source,class,https://example.org/mod-sbd#Backup,Backup
source,class,https://example.org/mod-sbd#BusinessContinuity,Business Continuity
source,class,https://example.org/mod-sbd#BusinessContinuityPlan,Business Continuity Plan
source,class,https://example.org/mod-sbd#CADMIDStage,CADMID Stage
source,class,https://example.org/mod-sbd#Capability,Capability
source,class,https://example.org/mod-sbd#CapabilityTeam,Capability Team
source,class,https://example.org/mod-sbd#CaptureLessonsLearned,Capture Lessons Learned
source,class,https://example.org/mod-sbd#CommunicateSecurityInformation,Communicate Security Information
source,class,https://example.org/mod-sbd#Compromise,Compromise
source,class,https://example.org/mod-sbd#ConceptStage,Concept
source,class,https://example.org/mod-sbd#ConductForensics,Conduct Forensics
source,class,https://example.org/mod-sbd#ConductRiskAssessment,Conduct Risk Assessment
source,class,https://example.org/mod-sbd#ConductRootCauseAnalysis,Conduct Root Cause Analysis
source,class,https://example.org/mod-sbd#ConductThreatAnalysis,Conduct Threat Analysis
source,class,https://example.org/mod-sbd#ConductThreatAssessment,Conduct Threat Assessment
source,class,https://example.org/mod-sbd#Confidentiality,Confidentiality
source,class,https://example.org/mod-sbd#Context,Context
source,class,https://example.org/mod-sbd#ContextualConcept,Contextual Concept
source,class,https://example.org/mod-sbd#ContinuousAssurance,Continuous Assurance
source,class,https://example.org/mod-sbd#ContinuousRiskManagement,Continuous Risk Management
source,class,https://example.org/mod-sbd#Contract,Contract
source,class,https://example.org/mod-sbd#CriticalData,Critical Data
source,class,https://example.org/mod-sbd#CrossLifecycleContext,Cross-Lifecycle / Through-Life Context
