source_entity,target_entity,in_AML,in_LogMap,agreement_status
https://example.org/mod-sbd#Activity,https://example.org/ontology/sora#Activity,True,True,shared
https://example.org/mod-sbd#Component,https://example.org/ontology/sora#Component,True,True,shared
https://example.org/mod-sbd#CriticalData,https://example.org/ontology/sora#SafetyCriticalData,True,False,AML_only
https://example.org/mod-sbd#CyberRisk,https://example.org/ontology/sora#CyberRisk,True,True,shared
https://example.org/mod-sbd#DSTL-SbD03-Criterion_01,https://example.org/ontology/sora#CY-OSO01-I-Criterion_04,False,True,LogMap_only
https://example.org/mod-sbd#DSTL-SbD05-Criterion_01,https://example.org/ontology/sora#CY-OSO03-I-Criterion_02,False,True,LogMap_only
https://example.org/mod-sbd#DSTL-SbD05-Criterion_02,https://example.org/ontology/sora#CY-OSO03-I-Criterion_02,False,True,LogMap_only
https://example.org/mod-sbd#DSTL-SbD07-Criterion_02,https://example.org/ontology/sora#Report,False,True,LogMap_only
https://example.org/mod-sbd#Data,https://example.org/ontology/sora#Data,True,True,shared
https://example.org/mod-sbd#DesignStandard,https://example.org/ontology/sora#AirworthinessDesignStandard,True,False,AML_only
https://example.org/mod-sbd#HumanError,https://example.org/ontology/sora#HumanError,True,True,shared
https://example.org/mod-sbd#InformationArtifact,https://example.org/ontology/sora#InformationArtifact,True,True,shared
https://example.org/mod-sbd#LifecycleContext,https://example.org/ontology/sora#LifecycleContext,True,True,shared
https://example.org/mod-sbd#OperationalContext,https://example.org/ontology/sora#OperationalContextElement,True,False,AML_only
https://example.org/mod-sbd#Organisation,https://example.org/ontology/sora#Organisation,True,True,shared
https://example.org/mod-sbd#Personnel,https://example.org/ontology/sora#Person,True,False,AML_only
https://example.org/mod-sbd#Programme,https://example.org/ontology/sora#Programme,True,True,shared
https://example.org/mod-sbd#Risk,https://example.org/ontology/sora#Risk,True,True,shared
https://example.org/mod-sbd#SecurityMechanism,https://example.org/ontology/sora#SecurityMechanism,True,True,shared
https://example.org/mod-sbd#SecurityPlan,https://example.org/ontology/sora#Plan,True,True,shared
https://example.org/mod-sbd#SecurityPrincipleOrPractice,https://example.org/ontology/sora#SecurityPrincipleOrPractice,True,True,shared
https://example.org/mod-sbd#SecurityProperty,https://example.org/ontology/sora#SecurityProperty,True,True,shared
https://example.org/mod-sbd#Service,https://example.org/ontology/sora#Service,True,True,shared
https://example.org/mod-sbd#Standard,https://example.org/ontology/sora#Standard,True,True,shared
https://example.org/mod-sbd#System,https://example.org/ontology/sora#System,True,True,shared
https://example.org/mod-sbd#Threat,https://example.org/ontology/sora#ThreatType,True,False,AML_only
https://example.org/mod-sbd#ThreatActorRole,https://example.org/ontology/sora#ActorRole,True,False,AML_only
https://example.org/mod-sbd#ThreatConcept,https://example.org/ontology/sora#RiskAndThreatConcept,True,False,AML_only
https://example.org/mod-sbd#TrainingEvidence,https://example.org/ontology/sora#TrainingRecord,True,False,AML_only
https://example.org/mod-sbd#addressesRiskConcept,https://example.org/ontology/sora#addresses,True,False,AML_only
https://example.org/mod-sbd#appliesTo,https://example.org/ontology/sora#appliesToActorRole,True,False,AML_only
https://example.org/mod-sbd#belongsToPrinciple,https://example.org/ontology/sora#belongsToOSO,True,False,AML_only
https://example.org/mod-sbd#contributesTo,https://example.org/ontology/sora#conformsTo,True,False,AML_only
https://example.org/mod-sbd#derivedFrom,https://example.org/ontology/sora#derivedFromSourceDocument,True,False,AML_only
https://example.org/mod-sbd#hasRole,https://example.org/ontology/sora#hasRole,True,False,AML_only
https://example.org/mod-sbd#hasSourceCriterion,https://example.org/ontology/sora#hasCriterion,True,False,AML_only
https://example.org/mod-sbd#monitors,https://example.org/ontology/sora#monitors,True,False,AML_only
https://example.org/mod-sbd#partOfRequirement,https://example.org/ontology/sora#inheritsRequirement,True,False,AML_only
https://example.org/mod-sbd#performs,https://example.org/ontology/sora#performsActivity,True,False,AML_only
https://example.org/mod-sbd#protects,https://example.org/ontology/sora#protects,True,False,AML_only
https://example.org/mod-sbd#records,https://example.org/ontology/sora#records,True,False,AML_only
https://example.org/mod-sbd#requires,https://example.org/ontology/sora#requiresEvidence,True,False,AML_only
https://example.org/mod-sbd#requiresActivity,https://example.org/ontology/sora#requiresActivityType,True,False,AML_only
https://example.org/mod-sbd#requiresSecurityControl,https://example.org/ontology/sora#requiresSecurityMechanism,True,False,AML_only
https://example.org/mod-sbd#requiresSecurityPractice,https://example.org/ontology/sora#requiresSecurityPrinciple,True,False,AML_only
https://example.org/mod-sbd#uses,https://example.org/ontology/sora#usesStandardOrMeans,True,False,AML_only
