ontology_side,ontology,entity_type,entity_iri,label,priority_keyword,proposed_counterpart,classification,assurance_relevance,review_notes
source,SbD,class,https://example.org/mod-sbd#AcquireSecurely,Acquire Securely,secure,,,,
source,SbD,class,https://example.org/mod-sbd#AdverseSecurityEvent,Adverse Security Event,security,,,,
source,SbD,class,https://example.org/mod-sbd#AnalyseRisk,Analyse Risk,risk,,,,
source,SbD,class,https://example.org/mod-sbd#AssessmentStage,Assessment,assessment,,,,
source,SbD,class,https://example.org/mod-sbd#Asset,Asset,asset,,,,
source,SbD,class,https://example.org/mod-sbd#AssetManagement,Asset Management,asset,,,,
source,SbD,class,https://example.org/mod-sbd#AssuranceEvidence,Assurance Evidence,assurance; evidence,,,,
source,SbD,class,https://example.org/mod-sbd#AssuranceSecurityPractice,Assurance Security Practice,assurance; security,,,,
source,SbD,class,https://example.org/mod-sbd#AtomicRequirementClause,Atomic Requirement Clause,requirement,,,,
source,SbD,class,https://example.org/mod-sbd#AttackScenario,Attack Scenario,attack,,,,
source,SbD,class,https://example.org/mod-sbd#AttackTechnique,Attack Method or Technique,attack,,,,
source,SbD,class,https://example.org/mod-sbd#CommunicateSecurityInformation,Communicate Security Information,security,,,,
source,SbD,class,https://example.org/mod-sbd#ConductRiskAssessment,Conduct Risk Assessment,risk; assessment,,,,
source,SbD,class,https://example.org/mod-sbd#ConductThreatAnalysis,Conduct Threat Analysis,threat,,,,
source,SbD,class,https://example.org/mod-sbd#ConductThreatAssessment,Conduct Threat Assessment,assessment; threat,,,,
source,SbD,class,https://example.org/mod-sbd#ContinuousAssurance,Continuous Assurance,assurance,,,,
source,SbD,class,https://example.org/mod-sbd#ContinuousRiskManagement,Continuous Risk Management,risk,,,,
source,SbD,class,https://example.org/mod-sbd#CyberRisk,Cyber Risk,risk,,,,
source,SbD,class,https://example.org/mod-sbd#CyberRiskAssessment,Cyber Risk Assessment,risk; assessment,,,,
source,SbD,class,https://example.org/mod-sbd#CyberSecurityStrategy,Cyber Security Strategy,security,,,,
source,SbD,class,https://example.org/mod-sbd#Cyberattack,Cyberattack,attack,,,,
source,SbD,class,https://example.org/mod-sbd#CybersecurityDecision,Cybersecurity Decision,security,,,,
source,SbD,class,https://example.org/mod-sbd#DefineSecurityRequirements,Define Security Requirements,security; requirement,,,,
source,SbD,class,https://example.org/mod-sbd#DesignDevelopmentSecurityPractice,Design and Development Security Practice,security,,,,
source,SbD,class,https://example.org/mod-sbd#DesignStandard,Design Standard,standard,,,,
source,SbD,class,https://example.org/mod-sbd#DevelopAttackScenarios,Develop Attack Scenarios,attack,,,,
source,SbD,class,https://example.org/mod-sbd#DevelopSecurely,Develop Securely,secure,,,,
source,SbD,class,https://example.org/mod-sbd#DisposeSecurely,Dispose Securely,secure,,,,
source,SbD,class,https://example.org/mod-sbd#DocumentedEvidence,Documented Evidence,evidence,,,,
source,SbD,class,https://example.org/mod-sbd#EvidenceAssessmentOutput,Evidence or Assessment Output,evidence; assessment,,,,
source,SbD,class,https://example.org/mod-sbd#EvidenceRecord,Evidence Record,evidence,,,,
source,SbD,class,https://example.org/mod-sbd#ExternalRequirement,"External Legal, Regulatory or Policy Requirement",requirement; policy,,,,
source,SbD,class,https://example.org/mod-sbd#GovernCybersecurity,Govern Cybersecurity,security,,,,
source,SbD,class,https://example.org/mod-sbd#GovernanceActivity,Governance Activity,governance,,,,
source,SbD,class,https://example.org/mod-sbd#IdentifyRisk,Identify Risk,risk,,,,
source,SbD,class,https://example.org/mod-sbd#Incident,Incident,incident,,,,
source,SbD,class,https://example.org/mod-sbd#IncidentContainment,Incident Containment,incident,,,,
source,SbD,class,https://example.org/mod-sbd#IncidentManagementActivity,Incident Management Activity,incident,,,,
source,SbD,class,https://example.org/mod-sbd#IncidentResponse,Incident Response,incident,,,,
source,SbD,class,https://example.org/mod-sbd#IncidentResponsePlan,Incident Response Plan,incident,,,,
source,SbD,class,https://example.org/mod-sbd#IncidentReviewRecord,Incident Review Record,incident,,,,
source,SbD,class,https://example.org/mod-sbd#InformationSecurityService,Information Security Service,security,,,,
source,SbD,class,https://example.org/mod-sbd#InherentRisk,Inherent Risk,risk,,,,
source,SbD,class,https://example.org/mod-sbd#InsiderThreat,Insider Threat,threat,,,,
source,SbD,class,https://example.org/mod-sbd#KnowledgeAsset,Knowledge Asset,asset,,,,
source,SbD,class,https://example.org/mod-sbd#LifecycleSecurityPractice,Lifecycle Security Practice,security,,,,
source,SbD,class,https://example.org/mod-sbd#MakeSecurityAuthorisationDecision,Make Security Authorisation Decision,security,,,,
source,SbD,class,https://example.org/mod-sbd#ManageAssets,Manage Assets,asset,,,,
source,SbD,class,https://example.org/mod-sbd#ManageIncident,Manage Incident,incident,,,,
source,SbD,class,https://example.org/mod-sbd#ManageSecurityControls,Manage Security Controls,security; control,,,,
source,SbD,class,https://example.org/mod-sbd#MonitorRiskEffectiveness,Monitor Risk or Effectiveness,risk,,,,
source,SbD,class,https://example.org/mod-sbd#MonitoringEvidence,Monitoring Evidence,evidence,,,,
source,SbD,class,https://example.org/mod-sbd#ObtainSupplyChainAssurance,Obtain Supply Chain Assurance,assurance,,,,
source,SbD,class,https://example.org/mod-sbd#OperationalResilienceSecurityPractice,Operational Resilience Security Practice,security,,,,
source,SbD,class,https://example.org/mod-sbd#OrganisationalRiskAppetiteStatement,Organisational Risk Appetite Statement,risk,,,,
source,SbD,class,https://example.org/mod-sbd#PlanIncidentResponse,Plan Incident Response,incident,,,,
source,SbD,class,https://example.org/mod-sbd#PlanRiskResponse,Plan Risk Response,risk,,,,
source,SbD,class,https://example.org/mod-sbd#PostIncidentOperationalNorm,Post-Incident Operational Norm,incident,,,,
source,SbD,class,https://example.org/mod-sbd#PrimeSupplier,Prime Supplier,supplier,,,,
source,SbD,class,https://example.org/mod-sbd#PrioritiseRisk,Prioritise Risk,risk,,,,
source,SbD,class,https://example.org/mod-sbd#ProtectionControlSecurityPractice,Protection and Control Security Practice,security; control,,,,
source,SbD,class,https://example.org/mod-sbd#ResidualCyberRisk,Residual Cyber Risk,risk,,,,
source,SbD,class,https://example.org/mod-sbd#ReviewIncidents,Review Incidents,incident,,,,
source,SbD,class,https://example.org/mod-sbd#RiskAppetite,Risk Appetite,risk,,,,
source,SbD,class,https://example.org/mod-sbd#RiskAppetiteStatement,Risk Appetite Statement,risk,,,,
source,SbD,class,https://example.org/mod-sbd#RiskBasedSecurity,Risk-Based Security,security; risk,,,,
source,SbD,class,https://example.org/mod-sbd#RiskCommunication,Risk Communication,risk,,,,
source,SbD,class,https://example.org/mod-sbd#RiskConcept,Risk Concept,risk,,,,
source,SbD,class,https://example.org/mod-sbd#RiskContributor,Risk Contributor,risk,,,,
