ontology_side,ontology,entity_type,entity_iri,label
source,SbD,class,https://example.org/mod-sbd#Accountability,Accountability
source,SbD,class,https://example.org/mod-sbd#AcquireSecurely,Acquire Securely
source,SbD,class,https://example.org/mod-sbd#AcquisitionAndSupplyChainActivity,Acquisition and Supply-Chain Activity
source,SbD,class,https://example.org/mod-sbd#AdverseSecurityEvent,Adverse Security Event
source,SbD,class,https://example.org/mod-sbd#AllocateResources,Allocate Resources
source,SbD,class,https://example.org/mod-sbd#AnalyseRisk,Analyse Risk
source,SbD,class,https://example.org/mod-sbd#AnticipateTechnologicalChange,Anticipate Technological Change
source,SbD,class,https://example.org/mod-sbd#Architecture,Architecture
source,SbD,class,https://example.org/mod-sbd#ArchivalManagement,Archival Management
source,SbD,class,https://example.org/mod-sbd#ArtefactReference,Artefact Reference
source,SbD,class,https://example.org/mod-sbd#AssessmentStage,Assessment
source,SbD,class,https://example.org/mod-sbd#Asset,Asset
source,SbD,class,https://example.org/mod-sbd#AssetManagement,Asset Management
source,SbD,class,https://example.org/mod-sbd#AssuranceEvidence,Assurance Evidence
source,SbD,class,https://example.org/mod-sbd#AssuranceSecurityPractice,Assurance Security Practice
source,SbD,class,https://example.org/mod-sbd#AtomicRequirementClause,Atomic Requirement Clause
source,SbD,class,https://example.org/mod-sbd#AttackScenario,Attack Scenario
source,SbD,class,https://example.org/mod-sbd#AttackTechnique,Attack Method or Technique
source,SbD,class,https://example.org/mod-sbd#Availability,Availability
source,SbD,class,https://example.org/mod-sbd#Backup,Backup
source,SbD,class,https://example.org/mod-sbd#BusinessContinuity,Business Continuity
source,SbD,class,https://example.org/mod-sbd#BusinessContinuityPlan,Business Continuity Plan
source,SbD,class,https://example.org/mod-sbd#CADMIDStage,CADMID Stage
source,SbD,class,https://example.org/mod-sbd#Capability,Capability
source,SbD,class,https://example.org/mod-sbd#CapabilityTeam,Capability Team
source,SbD,class,https://example.org/mod-sbd#CaptureLessonsLearned,Capture Lessons Learned
source,SbD,class,https://example.org/mod-sbd#CommunicateSecurityInformation,Communicate Security Information
source,SbD,class,https://example.org/mod-sbd#Compromise,Compromise
source,SbD,class,https://example.org/mod-sbd#ConceptStage,Concept
source,SbD,class,https://example.org/mod-sbd#ConductForensics,Conduct Forensics
source,SbD,class,https://example.org/mod-sbd#ConductRiskAssessment,Conduct Risk Assessment
source,SbD,class,https://example.org/mod-sbd#ConductRootCauseAnalysis,Conduct Root Cause Analysis
source,SbD,class,https://example.org/mod-sbd#ConductThreatAnalysis,Conduct Threat Analysis
source,SbD,class,https://example.org/mod-sbd#ConductThreatAssessment,Conduct Threat Assessment
source,SbD,class,https://example.org/mod-sbd#Confidentiality,Confidentiality
source,SbD,class,https://example.org/mod-sbd#Context,Context
source,SbD,class,https://example.org/mod-sbd#ContextualConcept,Contextual Concept
source,SbD,class,https://example.org/mod-sbd#ContinuousAssurance,Continuous Assurance
source,SbD,class,https://example.org/mod-sbd#ContinuousRiskManagement,Continuous Risk Management
source,SbD,class,https://example.org/mod-sbd#Contract,Contract
source,SbD,class,https://example.org/mod-sbd#CriticalData,Critical Data
source,SbD,class,https://example.org/mod-sbd#CrossLifecycleContext,Cross-Lifecycle / Through-Life Context
source,SbD,class,https://example.org/mod-sbd#CryptographicProtection,Cryptographic Protection
source,SbD,class,https://example.org/mod-sbd#CyberResilientArchitecture,Cyber-Resilient Architecture
source,SbD,class,https://example.org/mod-sbd#CyberResilientDesign,Cyber-Resilient Design
source,SbD,class,https://example.org/mod-sbd#CyberRisk,Cyber Risk
source,SbD,class,https://example.org/mod-sbd#CyberRiskAssessment,Cyber Risk Assessment
source,SbD,class,https://example.org/mod-sbd#CyberSecurityStrategy,Cyber Security Strategy
source,SbD,class,https://example.org/mod-sbd#Cyberattack,Cyberattack
source,SbD,class,https://example.org/mod-sbd#CybersecurityDecision,Cybersecurity Decision
source,SbD,class,https://example.org/mod-sbd#DataInTransit,Data in Transit
source,SbD,class,https://example.org/mod-sbd#DataInventory,Data Inventory
source,SbD,class,https://example.org/mod-sbd#DataProtection,Data Protection
source,SbD,class,https://example.org/mod-sbd#Decision,Decision
source,SbD,class,https://example.org/mod-sbd#DecisionMakerRole,Decision Maker
source,SbD,class,https://example.org/mod-sbd#DefenceStrategicObjective,Defence Strategic Objective
source,SbD,class,https://example.org/mod-sbd#DefineRolesAndResponsibilities,Define Roles and Responsibilities
source,SbD,class,https://example.org/mod-sbd#DefineSecurityRequirements,Define Security Requirements
source,SbD,class,https://example.org/mod-sbd#DemonstrationStage,Demonstration
source,SbD,class,https://example.org/mod-sbd#DesignDevelopmentSecurityPractice,Design and Development Security Practice
source,SbD,class,https://example.org/mod-sbd#DesignStandard,Design Standard
source,SbD,class,https://example.org/mod-sbd#DevelopAttackScenarios,Develop Attack Scenarios
source,SbD,class,https://example.org/mod-sbd#DevelopSecurely,Develop Securely
source,SbD,class,https://example.org/mod-sbd#DevelopmentPractice,Development Practice
